Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
AdaBoostClassifier,1.0,1.0,1.0,1.0,0.17283010482788086
BaggingClassifier,1.0,1.0,1.0,1.0,0.07286334037780762
DecisionTreeClassifier,1.0,1.0,1.0,1.0,0.01586771011352539
ExtraTreesClassifier,1.0,1.0,1.0,1.0,0.15117359161376953
LGBMClassifier,1.0,1.0,1.0,1.0,0.07973980903625488
XGBClassifier,1.0,1.0,1.0,1.0,0.21885323524475098
Perceptron,1.0,1.0,1.0,1.0,0.014438867568969727
RandomForestClassifier,1.0,1.0,1.0,1.0,0.16779541969299316
LinearSVC,0.9964912280701754,0.9970588235294118,0.9970588235294118,0.9964936476347747,0.015731096267700195
ExtraTreeClassifier,0.9964912280701754,0.9956521739130435,0.9956521739130435,0.9964887118229694,0.01843547821044922
CalibratedClassifierCV,0.9929824561403509,0.9941176470588236,0.9941176470588236,0.9929919422101469,0.04933881759643555
LogisticRegression,0.9929824561403509,0.9941176470588236,0.9941176470588236,0.9929919422101469,0.018583059310913086
SVC,0.9929824561403509,0.9941176470588236,0.9941176470588236,0.9929919422101469,0.02251601219177246
SGDClassifier,0.9929824561403509,0.9941176470588236,0.9941176470588236,0.9929919422101469,0.012276649475097656
LabelSpreading,0.9894736842105263,0.9911764705882353,0.9911764705882352,0.989494597154365,0.04894065856933594
LabelPropagation,0.9894736842105263,0.9911764705882353,0.9911764705882352,0.989494597154365,0.035221099853515625
PassiveAggressiveClassifier,0.9894736842105263,0.989769820971867,0.989769820971867,0.9894809429043243,0.020917177200317383
QuadraticDiscriminantAnalysis,0.9789473684210527,0.9823529411764707,0.9823529411764707,0.9790258911258659,0.025945186614990234
NuSVC,0.968421052631579,0.9735294117647059,0.9735294117647059,0.9685863142858855,0.0748605728149414
KNeighborsClassifier,0.968421052631579,0.969309462915601,0.9693094629156012,0.9684837914630949,0.02460169792175293
RidgeClassifierCV,0.9578947368421052,0.9647058823529412,0.9647058823529412,0.9581684507580179,0.012642145156860352
RidgeClassifier,0.9578947368421052,0.9647058823529412,0.9647058823529412,0.9581684507580179,0.017055273056030273
LinearDiscriminantAnalysis,0.9578947368421052,0.9647058823529412,0.9647058823529412,0.9581684507580179,0.019758939743041992
NearestCentroid,0.9333333333333333,0.9441176470588235,0.9441176470588235,0.9339038396576963,0.01961517333984375
GaussianNB,0.9298245614035088,0.9341432225063939,0.9341432225063938,0.9302232854864434,0.016808032989501953
BernoulliNB,0.8456140350877193,0.8705882352941177,0.8705882352941177,0.8465353559475726,0.015704631805419922
DummyClassifier,0.5964912280701754,0.5,0.5,0.44572970888760366,0.01485586166381836
