Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LogisticRegression,0.8577044025157232,0.5486969880889159,0.5486969880889158,0.8078907018761,0.025714397430419922
LinearDiscriminantAnalysis,0.8514150943396226,0.5512385251498368,0.5512385251498368,0.8068329137776028,0.02816486358642578
GaussianNB,0.8191823899371069,0.5885175631590926,0.5885175631590926,0.8047282664555252,0.018070697784423828
QuadraticDiscriminantAnalysis,0.8238993710691824,0.5787876488885517,0.5787876488885517,0.8044782926097594,0.033350229263305664
BernoulliNB,0.8113207547169812,0.5963887413701541,0.596388741370154,0.8023218690137848,0.025729894638061523
CalibratedClassifierCV,0.8553459119496856,0.5389575904711327,0.5389575904711327,0.8018807889131432,0.08443188667297363
LGBMClassifier,0.8419811320754716,0.5394033077915181,0.539403307791518,0.7976576799350046,0.14487099647521973
RandomForestClassifier,0.8474842767295597,0.5343107503224338,0.5343107503224339,0.7969329544006789,0.5565252304077148
KNeighborsClassifier,0.8349056603773585,0.5373074880509825,0.5373074880509825,0.7940882698365657,0.14143800735473633
ExtraTreesClassifier,0.8482704402515723,0.5264300887641302,0.5264300887641302,0.7927945105848995,0.33350586891174316
XGBClassifier,0.8294025157232704,0.5319683635535999,0.5319683635535998,0.7896309081715037,0.29421091079711914
BaggingClassifier,0.8349056603773585,0.5268758060845156,0.5268758060845156,0.7891188930824835,0.24718642234802246
RidgeClassifier,0.85062893081761,0.5153061224489796,0.5153061224489796,0.7864391920718907,0.018845319747924805
RidgeClassifierCV,0.85062893081761,0.5153061224489796,0.5153061224489796,0.7864391920718907,0.01982712745666504
LinearSVC,0.85062893081761,0.5153061224489796,0.5153061224489796,0.7864391920718907,0.022010087966918945
AdaBoostClassifier,0.8459119496855346,0.5083453455731735,0.5083453455731735,0.7811004550183239,0.3266277313232422
LabelPropagation,0.7885220125786163,0.5599632046127001,0.5599632046127002,0.7803992455700572,0.34505391120910645
LabelSpreading,0.7885220125786163,0.5599632046127001,0.5599632046127002,0.7803992455700572,0.4885902404785156
SVC,0.845125786163522,0.5037079887717169,0.5037079887717167,0.7778538996366945,0.3381462097167969
DummyClassifier,0.8459119496855346,0.5,0.5,0.7752991974971339,0.01845526695251465
SGDClassifier,0.8443396226415094,0.49907063197026025,0.49907063197026025,0.7745178465151442,0.04191255569458008
Perceptron,0.764937106918239,0.5919220848190577,0.5919220848190577,0.7737832460346012,0.020804166793823242
PassiveAggressiveClassifier,0.779874213836478,0.5444199984826644,0.5444199984826644,0.7717034886846208,0.033355712890625
DecisionTreeClassifier,0.7657232704402516,0.5527463773613535,0.5527463773613535,0.7662089155082564,0.08136510848999023
ExtraTreeClassifier,0.7515723270440252,0.5297777103406418,0.5297777103406418,0.7530976080588162,0.027047395706176758
NearestCentroid,0.6776729559748428,0.6300546240801153,0.6300546240801153,0.7185167660118864,0.022127151489257812
