Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LinearDiscriminantAnalysis,0.7843866171003717,0.7224406991260923,0.7224406991260923,0.7743234924926375,0.032896995544433594
CalibratedClassifierCV,0.7843866171003717,0.7196004993757803,0.7196004993757803,0.773207589441852,0.06746649742126465
LinearSVC,0.7843866171003717,0.7196004993757803,0.7196004993757803,0.773207589441852,0.03175854682922363
LogisticRegression,0.7843866171003717,0.7196004993757803,0.7196004993757803,0.773207589441852,0.04004526138305664
QuadraticDiscriminantAnalysis,0.7769516728624535,0.7310861423220973,0.7310861423220973,0.7724872387980992,0.019211292266845703
RidgeClassifierCV,0.7806691449814126,0.7139825218476904,0.7139825218476903,0.7687111713672775,0.01700615882873535
RidgeClassifier,0.7806691449814126,0.7139825218476904,0.7139825218476903,0.7687111713672775,0.02314281463623047
AdaBoostClassifier,0.7695167286245354,0.702808988764045,0.7028089887640451,0.7575667335412901,0.15735077857971191
SVC,0.7732342007434945,0.6970661672908864,0.6970661672908864,0.75695051818567,0.0310361385345459
XGBClassifier,0.758364312267658,0.7143570536828964,0.7143570536828965,0.7548770025875838,0.6108517646789551
NuSVC,0.7657992565055762,0.6915106117353308,0.6915106117353309,0.750388792982847,0.0873720645904541
KNeighborsClassifier,0.7546468401486989,0.7002184769038702,0.7002184769038702,0.7477509147207795,0.05026960372924805
GaussianNB,0.7509293680297398,0.6917602996254681,0.6917602996254681,0.7422909846504754,0.021404027938842773
RandomForestClassifier,0.7546468401486989,0.6860174781523096,0.6860174781523095,0.7419258776407281,0.26785707473754883
Perceptron,0.7360594795539034,0.7090511860174782,0.7090511860174781,0.7378064883092612,0.0265195369720459
ExtraTreesClassifier,0.7472118959107806,0.6833021223470661,0.6833021223470661,0.7366663322987892,0.22410917282104492
LGBMClassifier,0.7397769516728625,0.6947877652933833,0.6947877652933832,0.7364825678129665,0.1282329559326172
BernoulliNB,0.7360594795539034,0.6891697877652934,0.6891697877652934,0.732250264364899,0.018192291259765625
BaggingClassifier,0.7397769516728625,0.660705368289638,0.6607053682896379,0.7218807062469537,0.06801748275756836
NearestCentroid,0.7137546468401487,0.6867041198501873,0.6867041198501872,0.7163319727364507,0.04571652412414551
LabelSpreading,0.7137546468401487,0.6583021223470662,0.6583021223470661,0.7074665045463454,0.05807232856750488
LabelPropagation,0.7137546468401487,0.6583021223470662,0.6583021223470661,0.7074665045463454,0.04414701461791992
SGDClassifier,0.6877323420074349,0.6899812734082398,0.6899812734082398,0.6960576598123067,0.01727008819580078
ExtraTreeClassifier,0.6877323420074349,0.6473782771535581,0.6473782771535579,0.6877323420074349,0.019041061401367188
DecisionTreeClassifier,0.6728624535315985,0.6305867665418228,0.6305867665418228,0.6728624535315985,0.03425168991088867
PassiveAggressiveClassifier,0.5539033457249071,0.544538077403246,0.5445380774032459,0.5664125382817008,0.03711581230163574
DummyClassifier,0.6691449814126395,0.5,0.5,0.5365082256315149,0.026688814163208008
